Family	ACLAME.Function.s.
family:all:23494	unknown
family:all:23493	unknown
family:all:23492	unknown
family:all:23491	unknown
family:all:23490	unknown
family:all:2349	phi:0000326 - phage function unknown
family:all:23489	unknown
family:all:23488	unknown
family:all:23487	unknown
family:all:23486	unknown
family:all:23485	unknown
family:all:23484	unknown
family:all:23483	unknown
family:all:23482	unknown
family:all:23481	unknown
family:all:23480	unknown
family:all:2348	phi:0000326 - phage function unknown
family:all:23479	putative inner membrane protein
family:all:23478	unknown
family:all:23477	unknown
family:all:23476	unknown
family:all:23475	unknown
family:all:23474	unknown
family:all:23473	unknown
family:all:23472	unknown
family:all:23471	unknown
family:all:23470	unknown
family:all:2347	phi:0000326 - phage function unknown
family:all:23469	inorganic polyphosphate/ATP-NAD kinase (Poly(P)/ATP NAD kinase)
family:all:23468	unknown
family:all:23467	unknown
family:all:23466	unknown
family:all:23465	unknown
family:all:23464	unknown
family:all:23463	unknown
family:all:23462	unknown
family:all:23461	unknown
family:all:23460	unknown
family:all:2346	go:0031411 - gas vesicle
family:all:23459	unknown
family:all:23458	resolvase
family:all:23457	unknown
family:all:23456	unknown
family:all:23455	unknown
family:all:23454	unknown
family:all:23453	unknown
family:all:23452	unknown
family:all:23451	unknown
family:all:23450	unknown
family:all:2345	phi:0000326 - phage function unknown
family:all:23449	unknown
family:all:23448	unknown
family:all:23447	unknown
family:all:23446	unknown
family:all:23445	unknown
family:all:23444	unknown
family:all:23443	unknown
family:all:23442	unknown
family:all:23441	unknown
family:all:23440	unknown
family:all:2344	aclame:function:499 - IS4 family
family:all:23439	unknown
family:all:23438	unknown
family:all:23437	unknown
family:all:23436	unknown
family:all:23435	unknown
family:all:23434	unknown
family:all:23433	unknown
family:all:23432	unknown
family:all:23431	unknown
family:all:23430	phosphoribosylaminoimidazole carboxylase, ATPase subunit
family:all:2343	phi:0000326 - phage function unknown
family:all:2343	phi:0000333 - plasmid function unknown
family:all:23429	copper amine oxidase domain-containing protein
family:all:23428	unknown
family:all:23427	unknown
family:all:23426	coat F domain-containing protein
family:all:23425	unknown
family:all:23424	glyoxalase/bleomycin resistance protein/dioxygenase
family:all:23423	unknown
family:all:23422	unknown
family:all:23421	unknown
family:all:23420	unknown
family:all:2342	phi:0000052 - phage lysogenic conversion; go:0016757 - transferase activity, transferring glycosyl groups
family:all:23419	unknown
family:all:23418	unknown
family:all:23417	unknown
family:all:23416	unknown
family:all:23415	unknown
family:all:23414	unknown
family:all:23413	unknown
family:all:23412	unknown
family:all:23411	unknown
family:all:23410	unknown
family:all:2341	go:0000772 - mating pheromone activity; go:0000762 - pheromone-induced unidirectional conjugation
family:all:23409	unknown
family:all:23408	unknown
family:all:23407	helix-turn-helix domain-containing protein
family:all:23406	unknown
family:all:23405	unknown
family:all:23404	unknown
family:all:23403	unknown
family:all:23402	unknown
family:all:23401	unknown
family:all:23400	unknown
family:all:2340	go:0016407 - acetyltransferase activity
family:all:234	phi:0000326 - phage function unknown
family:all:23399	unknown
family:all:23398	unknown
family:all:23397	unknown
family:all:23396	unknown
family:all:23395	unknown
family:all:23394	unknown
family:all:23393	unknown
family:all:23392	go:0006270 - DNA replication initiation; phi:0000026 - phage DNA replication; go:0003677 - DNA binding
family:all:23391	unknown
family:all:23390	unknown
family:all:2339	phi:0000326 - phage function unknown
family:all:23389	unknown
family:all:23388	unknown
family:all:23387	unknown
family:all:23386	unknown
family:all:23385	unknown
family:all:23384	unknown
family:all:23383	unknown
family:all:23382	unknown
family:all:23381	unknown
family:all:23380	unknown
family:all:2338	protein of unknown function DUF201
family:all:23379	unknown
family:all:23378	unknown
family:all:23377	unknown
family:all:23376	unknown
family:all:23375	unknown
family:all:23374	unknown
family:all:23373	unknown
family:all:23372	unknown
family:all:23371	unknown
family:all:23370	unknown
family:all:2337	go:0006270 - DNA replication initiation
family:all:23369	unknown
family:all:23368	unknown
family:all:23367	unknown
family:all:23366	unknown
family:all:23365	unknown
family:all:23364	unknown
family:all:23363	unknown
family:all:23362	unknown
family:all:23361	unknown
family:all:23360	unknown
family:all:2336	Afp1
family:all:23359	unknown
family:all:23358	unknown
family:all:23357	unknown
family:all:23356	unknown
family:all:23355	unknown
family:all:23354	unknown
family:all:23353	unknown
family:all:23352	unknown
family:all:23351	unknown
family:all:23350	unknown
family:all:2335	phi:0000333 - plasmid function unknown
family:all:23349	unknown
family:all:23348	unknown
family:all:23347	unknown
family:all:23346	unknown
family:all:23345	unknown
family:all:23344	unknown
family:all:23343	unknown
family:all:23342	unknown
family:all:23341	unknown
family:all:23340	unknown
family:all:2334	phi:0000333 - plasmid function unknown
family:all:23339	unknown
family:all:23338	unknown
family:all:23337	unknown
family:all:23336	unknown
family:all:23335	unknown
family:all:23334	unknown
family:all:23333	unknown
family:all:23332	unknown
family:all:23331	unknown
family:all:23330	unknown
family:all:2333	unknown
family:all:23329	unknown
family:all:23328	unknown
family:all:23327	unknown
family:all:23326	unknown
family:all:23325	unknown
family:all:23324	phage protein
family:all:23323	unknown
family:all:23322	unknown
family:all:23321	unknown
family:all:23320	unknown
family:all:2332	Na+/H+ antiporter NhaA
family:all:23319	unknown
family:all:23318	putative phage DNA-binding protein
family:all:23317	unknown
family:all:23316	unknown
family:all:23315	unknown
family:all:23314	unknown
family:all:23313	unknown
family:all:23312	unknown
family:all:23311	unknown
family:all:23310	unknown
family:all:2331	unknown
family:all:23309	unknown
family:all:23308	unknown
family:all:23307	unknown
family:all:23306	unknown
family:all:23305	unknown
family:all:23304	unknown
family:all:23303	unknown
family:all:23302	unknown
family:all:23301	unknown
family:all:23300	unknown
family:all:2330	gp61
family:all:233	phi:0000017 - phage prohead/capsid assembly; phi:0000008 - phage DNA translocation; go:0008933 - lytic transglycosylase activity; phi:0000179 - phage head/capsid internal protein
family:all:23299	unknown
family:all:23298	unknown
family:all:23297	unknown
family:all:23296	unknown
family:all:23295	unknown
family:all:23294	unknown
family:all:23293	unknown
family:all:23292	unknown
family:all:23291	unknown
family:all:23290	unknown
family:all:2329	NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit
family:all:23289	unknown
family:all:23288	unknown
family:all:23287	unknown
family:all:23286	unknown
family:all:23285	unknown
family:all:23284	unknown
family:all:23283	unknown
family:all:23282	unknown
family:all:23281	unknown
family:all:23280	unknown
family:all:2328	Stage II sporulation E family protein
family:all:23279	unknown
family:all:23278	unknown
family:all:23277	unknown
family:all:23276	unknown
family:all:23275	unknown
family:all:23274	unknown
family:all:23273	unknown
family:all:23272	unknown
family:all:23271	transcriptional regulator, putative
family:all:23270	unknown
family:all:2327	phi:0000326 - phage function unknown
family:all:23269	unknown
family:all:23268	unknown
family:all:23267	unknown
family:all:23266	unknown
family:all:23265	unknown
family:all:23264	unknown
family:all:23263	unknown
family:all:23262	unknown
family:all:23261	minor tail protein, putative
family:all:23260	transcriptional regulator cI, truncation
family:all:2326	go:0016740 - transferase activity
family:all:23259	unknown
family:all:23258	unknown
family:all:23257	unknown
family:all:23256	unknown
family:all:23255	unknown
family:all:23254	unknown
family:all:23253	unknown
family:all:23252	unknown
family:all:23251	unknown
family:all:23250	unknown
family:all:2325	aclame:function:545 - TA family higBA; go:0015643 - toxin binding; phi:0000322 - post-segregational killing
family:all:2325	phi:0000184 - transcription factor activity
family:all:23249	unknown
family:all:23248	unknown
family:all:23247	unknown
family:all:23246	unknown
family:all:23245	unknown
family:all:23244	phage-like protein
family:all:23243	unknown
family:all:23242	unknown
family:all:23241	unknown
family:all:23240	unknown
family:all:2324	PROBABLE ACTIVATION/SECRETION SIGNAL PEPTIDE PROTEIN
family:all:23239	unknown
family:all:23238	unknown
family:all:23237	unknown
family:all:23236	unknown
family:all:23235	DNA-biding phage protein
family:all:23234	unknown
family:all:23233	unknown
family:all:23232	unknown
family:all:23231	unknown
family:all:23230	unknown
family:all:2323	phi:0000333 - plasmid function unknown
family:all:23229	membrane protein
family:all:23228	unknown
family:all:23227	unknown
family:all:23226	unknown
family:all:23225	unknown
family:all:23224	unknown
family:all:23223	unknown
family:all:23222	unknown
family:all:23221	puattive membrane protein
family:all:23220	membrane protein
family:all:2322	gp108
family:all:23219	membrane protein
family:all:23218	unknown
family:all:23217	patatin family phospholipase
family:all:23216	unknown
family:all:23215	unknown
family:all:23214	unknown
family:all:23213	unknown
family:all:23212	unknown
family:all:23211	unknown
family:all:23210	unknown
family:all:2321	go:0016491 - oxidoreductase activity
family:all:23209	unknown
family:all:23208	unknown
family:all:23207	unknown
family:all:23206	unknown
family:all:23205	unknown
family:all:23204	unknown
family:all:23203	unknown
family:all:23202	unknown
family:all:23201	unknown
family:all:23200	unknown
family:all:2320	probable sugar transporter
family:all:232	phi:0000129 - DNA recombination
family:all:232	go:0000739 - DNA strand annealing activity; phi:0000130 - homologous DNA recombination
family:all:23199	unknown
family:all:23198	unknown
family:all:23197	putative bacteriophage protein
family:all:23196	unknown
family:all:23195	unknown
family:all:23194	unknown
family:all:23193	unknown
family:all:23192	unknown
family:all:23191	unknown
family:all:23190	unknown
family:all:2319	phi:0000317 - relaxase activity
family:all:23189	unknown
family:all:23188	unknown
family:all:23187	phi:0000326 - phage function unknown
family:all:23186	unknown
family:all:23185	unknown
family:all:23184	unknown
family:all:23183	unknown
family:all:23182	unknown
family:all:23181	unknown
family:all:23180	unknown
family:all:2318	unknown
family:all:23179	unknown
family:all:23178	unknown
family:all:23177	Rac prophage; predicted protein
family:all:23176	e14 prophage; predicted protein
family:all:23175	e14 prophage; predicted protein
family:all:23174	unknown
family:all:23173	XRE family transcriptional regulator
family:all:23172	unknown
family:all:23171	unknown
family:all:23170	unknown
family:all:2317	Mannitol dehydrogenase, C-terminal domain
family:all:23169	unknown
